id,phase1_dps,phase2_dps,phase3_dps,FK_player_id
598,2949.2,3010.95,65.93,The Urps.8379
599,15223.46,14387.82,1445.08,Jayzero.5874
600,28993.46,9169.61,12959.32,K C.9710
601,30642.44,26277.98,15696.76,Deviline.5098
602,3018.41,3682.22,567.57,Waldorn.5643
603,20613.63,14776.71,3741.35,Zvatochna.7546
604,9474.15,10025.66,1593.51,Redhand.6453
605,14789.83,8797.31,0.0,Strelok.7682
606,14102.72,9855.68,6589.73,SuperKlaus.8703
607,16353.85,17670.3,120.27,Anlson.3845
608,11113.0,13424.12,7687.03,Astaldocair.9063
609,5995.07,1804.21,239.19,TheLoneWolf.9056
610,16468.39,17190.75,27.03,CUBEstorm.7192
611,40316.0,43662.09,43154.82,Tribun Descius.9271
612,2829.49,2875.81,6446.08,Krieger nik.3510
613,15429.06,15705.01,16820.27,Auri.2150
614,34956.43,36022.2,41593.4,Azrammka.8572
615,18009.97,25268.51,31313.7,Piizza.5438
616,19366.51,20595.29,25878.98,Chronomate.4518
617,2045.29,2921.13,4209.37,Tobias.6514
618,13486.73,16612.31,23345.33,hoffi.4351
619,30610.3,28250.88,24847.8,XVBroadside.9086
620,18601.92,19482.95,21076.33,Junebae.1043
621,4845.42,3552.82,5376.72,Aveoo.7012
622,27268.9,20088.19,23900.38,Firu.2719
623,34093.81,26782.25,35760.52,LCDMrSmith.4701
624,20501.4,10474.78,19149.77,Wardancer.9172
625,20180.92,13060.88,24334.56,TheRock.7056
626,34701.9,38056.63,46851.13,valen.1378
627,18744.2,7578.66,14570.73,Nikita Rah.2054
628,7074.94,7823.5,6483.69,patrick.1894
629,34843.81,22974.54,40549.39,Traeyel.9654
630,28071.82,20778.46,36634.62,Maitimaxim.6815
631,21155.78,13370.53,4677.56,minty.5204
632,4053.68,3324.33,1493.72,PolluxNova.6520
633,9570.41,5942.52,3880.13,Nerdilix.3705
634,24109.15,23036.33,0.0,Valkion.4805
635,11484.12,5068.72,0.0,Serenai.1402
636,2286.03,3018.64,860.9,IlikeSonic.1039
637,17505.03,12636.12,0.0,Lorandhir.4015
638,4033.19,3374.74,0.0,CeNedra.8143
639,6532.3,3859.6,0.0,Xelantro.3504
640,23639.63,25441.64,7652.82,Kessi.9174
641,40864.86,42268.29,45937.93,xFreakkiller.2913
642,20380.58,19843.06,22384.04,Draconis.4173
643,5822.62,4761.81,6966.68,Rinoku.1029
644,29319.93,34624.9,34958.54,Xia Allegra.4320
645,36673.03,33321.58,40934.46,Simpli.4628
646,29791.26,22283.68,32269.36,Equelz.8561
647,4744.66,4031.45,4419.36,Waldorn.5643
648,25149.76,22898.39,23304.21,ShadowElf.1975
649,28197.48,22155.92,32957.43,Flauficopter.3768
650,34552.59,36050.92,35394.43,flederfish.6439
651,20936.31,17499.31,18023.5,Slick.9657
652,3704.59,2586.47,3233.5,mustaches.7134
653,15306.69,13676.2,18953.36,lilietsecaus.6372
654,13603.46,10672.88,12983.23,Gorion.1469
655,21748.49,21270.78,20705.65,Nomad.8260
656,3569.77,1650.85,3020.92,anbujackson.9564
657,35309.08,31817.28,33790.02,Spiktekmik.3948
658,13092.21,14441.61,16109.42,BladeCryser.3615
659,34087.87,29704.98,27879.47,Varte.2091
660,31529.92,25733.55,30011.66,Smokin Hazes.5840
661,20948.0,18696.26,14566.41,modular.7390
662,2827.93,3261.71,1284.84,IcyMoonn.4167
663,21205.75,16864.91,23403.68,Chriso DT.9204
664,40969.88,40363.69,41191.88,Sneaky Monkie.1756
665,17256.58,15254.6,17988.29,Lorenzo.8462
666,31386.75,34592.93,37836.52,xTesta.7513
667,21858.0,21396.8,20897.92,Black Devil.1508
668,16745.8,14510.46,13041.75,Wintry.1953
669,17989.7,16335.82,19590.92,paolone.1572
670,915.05,1920.78,4187.44,Ffamran.2598
671,46394.58,41213.04,40120.64,Saqo.9384
672,4145.51,3107.62,3208.87,asoylmz.6421
673,44597.55,40869.73,42057.38,Rakuni.8612
674,5613.12,5037.4,3833.75,pentachord.5746
